operatingSys,subcategory,description,what_is_new,url,NumInstall,DatePublished,softwareVersion,size,topDeveloper,reviews_num,Num_star,app_name
      2.3 and up    ,Action,"Adventure Card Game,Will of Fire is an adventure card mobile game. Classic plots with sophisticated graphics, enjoy the ultimate battle with the bravest heroes, smashing skills, and thousands of maps! Join the conquest for supremacy in the brand new PVP system! Challenge the 3D maze to get high EXP output and super treasure box! Experience the cosplay system and release the mysterious invincible skill! The original adventure awaits here, start your own journey with us NOW!,【game features】,*Battle among five countries*,- The competition among five countries, cool skills built for you,* innovative way to play *,- A copy of the battlefield, athletics trials，goal to kill the fox,* Revisit the classic *,- The original scene, the ultimate reduction of risk,* easy to play，cool experience,Simple style，enjoy the micro operating,Excellent social mobile games,Blood round, happy friends",,,"  10,000 - 50,000  ",23-Mar-16, 1.0.2  , 111M  ,,606,4.6,Will of Fire
      4.0 and up    ,Education,"Clean up, shower and makeover royal horses, fairy pony and magical pink unicorn! Plan the perfect wedding day for princess April and prince Adrian!,Have you ever dreamed of having your own pet horse? Join the Princess Horse Club, play the new pet pony care game and take care of 5 adorable horses: Beauty, Thunder, Daisy, Windy and Goldie! Clean up the stables from dirt and spiders webs and learn to change horseshoes. Be prepared to shower, wash and groom every princess royal horse so they all would look nice, sparkly and magical!,Get ready for even more princess fun inside - Princess Horse Club 2 comes with new prince and princess makeover activities! Once all princess April horses, ponies and unicorns are clean, plan her royal wedding! Clean up and decorate the amazing Princess carriage so the newlyweds could enjoy a royal journey to their castle in the far far away land. Design your dream wedding dress for princess April, makeover and dress up her beloved prince Adrian, and plan them a perfect wedding day!,GAME FEATURES:,- Take care of 5 adorable horses: Beauty, Thunder, Daisy, Windy and Goldie!,- Clean up the dirt in the stables and swipe spiders webs with a broom!,- Wash, shower, shampoo, brush and groom every horse with love and care to clean up the mud and dirt from them. Help Princess horses look the most beautiful in the kingdom!,- Take care of princess April pink unicorn: shower her and dress up with your favorite clothes!,- Groom the beautiful fairy horse Windy: wash the dirt, play the best horse dress up and make her look magical!,- Change old horseshoes to new, golden ones in the Farrier level!,- Dress up horses and ponies with stylish saddles, saddle blankets and bridles!,- Decorate and clean up Princess carriage. She and her prince charming Adrian will need it for their honeymoon journey after the royal wedding!,- Makeover prince Adrian for the royal wedding: play nail spa, shave beard, brush teeth and dress up!,- Design the perfect royal wedding dress for princess April!,- Plan a dream princess wedding ceremony, decorate the chapel with flowers and celebrate royal wedding with princess April and prince Adrian!,- Collect a new amazing horse racing trophy each time you reach a new game level!,- Watch videos for kids and toddlers, and get 200 coins!,- - -,ABOUT TutoTOONS Games for Kids,Crafted and play-tested with kids and toddlers, TutoTOONS games cherish the childhood and help children learn the basic life skills through games they really love.,Dress up games can develop creativity and art skills, cleanup games build good every day habits, cooking games show how to help parents at home, pet games teach to share and care. These are just a few examples how TutoTOONS games let children explore the world around them and develop on their screen time.,Discover more fun with TutoTOONS!,Play our games: ,http://tutotoons.com/games,Follow us on Twitter: ,https://twitter.com/TutoTOONSGames,Like us on Facebook: ,https://www.facebook.com/tutotoonsgames,Follow us on Instagram: ,https://instagram.com/tutotoons/,Meet us on Google+: ,https://plus.google.com/+Tutotoonsgames,Get our newsletter: ,http://ow.ly/HlYbn",,,"  100,000 - 500,000  ",1-Apr-16, 1.0.9  , 46M  ,,"1,418",3.8,Princess Horse Club 2
      4.0 and up    ,Education,"Smart Girl Zoey is here to teach kids basic hygiene and personal care! Play and learn daily routine with little Zoey at her home. Wake up your new best friend early in the morning and baby girl Zoey will show you how to wash your face, brush teeth, dress up, go to a toilet, do simple kids chores, take a bath, go to bed and create your personal daily care routine!,Designed for toddlers, preschool kids, girls and boys, this game helps children create good daily habits and understand the importance of personal hygiene. Hand washing, bathing, tooth brushing, dressing up and doing laundry are just a few examples of engaging activities inside!,Smart Girl Daily Routine Features:,- Wake up Smart Girl Zoey and learn to get ready in the morning: wash hands and face, brush teeth and comb hair!,- Play dress up with Zoey and get dressed for a new day. Mix and match clothes, shoes and accessories, and design the most beautiful girly outfit!,- Time for potty training: learn to go to a toilet, wash hands and cleanup!,- Help Zoey in the laundry room: sort clothes, set up the washing machine, hang the laundry to dry, do the ironing and learn how to keep your clothes fresh and clean!,- Get ready for bed with Zoey: have fun in a bubble bath, cut fingernails, clean the ears, brush teeth and turn off the light when Zoey falls asleep!,- Watch kids’ videos with Zoey and get 200 bonus coins for new dress up items!,- Play Smart Girl Daily Routine every day and collect 13 girly stickers! ,- - -,Discover more fun with TutoTOONS!,Play our games: ,http://tutotoons.com/games,Follow us on Twitter: ,https://twitter.com/TutoTOONSGames,Like us on Facebook: ,https://www.facebook.com/tutotoonsgames,Follow us on Instagram: ,https://instagram.com/tutotoons/,Meet us on Google+: ,https://plus.google.com/+Tutotoonsgames,Get our newsletter: ,http://ow.ly/HlYbn",,,"  10,000 - 50,000  ",1-Apr-16, 1.0.4  , 35M  ,,242,3.7,Smart Girl Daily Routine
      4.0.3 and up    ,Sports,"Pool Rivals is a fun and addictive new way of playing 8 ball pool! Snooker your friends, or challenge players from around the globe online at a game of billiards! Compete in multiplayer leagues and unlock new cool cues with enhanced stats! ,A MORE AUTHENTIC EXPERIENCE!,Pool Rivals delivers players the best and most compellingly authentic pool games for your phone or tablet! Enjoy precision-like control over the cue ball as you adjust your spin, making it easier than ever to snooker your friends and always come out on top in games!,IT’S ABOUT BEING SOCIAL!,Connect your Facebook account and challenge your friends to a fun game of billiards wherever you are! Send invites to play, and when you snooker them be sure to send ‘em an in-game message with good sportsmanship-like trash talking - it’s the best in 8 ball pool multiplayer action!,COMPETE IN MULTIPLAYER LEAGUES!,Find out who’s the best billiards player by competing in Pool Rivals’ innovative and fun leagues mode, where earning the most points awards you a promotion to a higher division! The higher your division, the more coins you win. But don’t let your friends outscore you, otherwise you’ll be left to fall back down the ladder! So stay cool and keep potting those 8 balls to stay on top!,HIGH-STAKES LIVE TOURNAMENTS!,Put your hard-earned coins on the line and enter eight-player tournaments, where pool games are played in real-time! The more coins you put up, the higher the payout if you manage to come out on top! But be quick, you only have a limited amount of time to take each shot, so maintain your cool and pot those balls fast!,DAILY TRICK SHOT EVENTS,Think you're a pro 8 ball billiard player? Daily events will put your skills to the ultimate test by having you compete in challenging events that put an unique spin on the core game play! Try your luck at earning massive reward by ranking in the leaderboard. Do you have what it takes?,Grab this exciting new game for free today, and enjoy the better 8 ball pool experience!",,,"  50,000 - 100,000  ",31-Mar-16,2, 82M  ,,"1,011",4.3,Pool Rivals - 8 Ball Pool
      3.0 and up    ,Casino,"Play the BEST slot machines with bonus games and free spins, Slot Machines - Casino Games Free!,Play the Best Vegas-style slot machines free with bonus games for Android. Enjoy great free slot machines, each with bonus features. Earn big experience in high payout big win slots machines and you will be rich fast! ,Claim the Signup Bonus and play with real online slot games players! Make a fortune with HUGE Jackpot slot, Free Spin the Wheel, Bonus Games and Mini Game in Slot Machines: Casino Games Free! ,Free Slotscasino games Features: ,★ 100% FREE slotscasino games unlimited with bonus!,★ Jackpot for every slot machines free game slot. ,★ Exciting mini casino games to win slot,★ Large jackpot and hourly rewards money in slot games.,★ Funny boosters help you to spin to win slot bonus!,★ Great graphics and sounds, real Vegas style slot machines, new and old vegas classic,★ Big Win or Huge Win, test your luck,★ Claim it, free games apps bonus every hour in our FREE Slot Machines.,★ More big win slot machines with bonus coming soon.,★ Travel around the world to from Egypt to China, experience Pharaoh and China town.,These free slot machines are like real Las Vegas casino slot games! BUT THIS GAME IS ABSOLUTELY FREE. NO REAL WORLD MONEY IS INVOLVED.,Slot game plays, feels and sounds like you are in a Las Vegas Casino, sitting on a real Slot machine in slot casino, betting huge $100 hits and winning slot jackpot. Earn coins and bonuses while moving up in experience rank with free slots.,THANK YOU everybody who has played Slot Machines - Casino Games Free!,***** We'd love your feedback! Please feel free to contact us at: ,casino@luckyo.xyz,! *****,Disclaimer:,*Slot Machines: Pharaoh Slot casino games free is intended for use by those 21 or older for amusement purposes only. THERE IS NO REAL CASH PAYOUT YOU CAN EARN.,*Practice or success at social casino game does not imply future success at real money gambling casino.,*Slot Machines: Pharaoh Slot free slotsfree with bonus does not offer real money gambling or an opportunity to win real money.,Internet or wifi required. Not a free slot machines offline or NO Internet or No wifi slotscasino.",,,"  50,000 - 100,000  ",30-Mar-16, 1.0.3  , 34M  ,,"2,056",4.7,Slot Machines: Pharaoh Slot
      4.0.3 and up    ,Casino,"Welcome to play our Fairy Tale Slot bringing you back to the amazing las vegas casino with high payout and mega bonus world!,Feel like going back to your childhood? Love slot games? Welcome to Fairy Tale Slot bringing you back to the amazing fairy tale world! Here are your favorite characters waiting for the thrilling adventures to start!  Download Fairy Tale Slot and have a terrific time with Cinderella, Peter Pan, Alice, Snow White, Little Mermaid, Red Riding Hood, Pinocchio and other fabulous characters.  ,Enjoy the outstanding features of the game:,Upward of 10 themed slot machines,Coin bonuses ,High quality sound effects,High payout and mega bonus ,Premium graphics ,Players’ achievements monitoring,Free spins,Exciting bonus games,Fans of Fairy Tale Slot are pleased with the game:,“Highly recommend! Favorite characters all together in a stunning adventure.”,""One of the most breathtaking slot games, I’ve ever played!"" ,""The game takes me for a trip down my memory lane… "",""A significant game, it is definitely worth playing!"",""Excellent! I am getting addicted)…"" ,With Fairy Tale Slot the sweet memories of your childhood will never fade!",,,"  10,000 - 50,000  ",16-Mar-16,1.2, 28M  ,,219,4.5,Fairy Tale Slot Machine
      4.2 and up    ,Strategy,"CREATE YOUR KINGDOM,Shape the land, build sprawling towns and recruit and train a powerful army. ,Conquer new territories to expand your realm and defeat rival lords and other players in epic real-time battles. ,FEATURES,• Build and expand your Kingdom, with farms, quarries, blacksmiths and more.,• Alter the land by creating rivers, lakes and mountains.,• Command your army in large-scale battles.,• Battle other players in real-time.,• Cross-Platform - Play on Phones, Tablet, and PC, whenever you want, wherever you want. Actions in your Kingdom will carry over onto any device you play on.,• From the creators of the award-winning Total War™ games.,REQUIREMENTS,• Android 4.2 or higher,• 2 GB of RAM recommended,• An internet connection,NEWS,Like us on Facebook: ,https://www.facebook.com/totalwarbattles,Follow us on Twitter: ,https://twitter.com/TotalWarBattles,Follow us on Instagram: ,https://www.instagram.com/totalwarbattles,PLEASE NOTE,Total War Battles: KINGDOM is free to download and play.,Additional Gold can be purchased using real money. More information on in-app purchases is available here: ,http://wiki.totalwar.com/w/Total_War_Battles_Kingdom_Information, ,If you do not want to use this feature, please disable in-app purchases in your device’s settings. Also, under our Terms of Service and Privacy Policy, you must be at least 13 years of age to play or download Total War Battles: KINGDOM.,- - - - -,EULA: ,http://www.sega.co.uk/Mobile_EULA,Terms of Service: ,http://www.sega.co.uk/Account-Terms-of-Service,Privacy Policy: ,http://www.sega.co.uk/mprivacy,© SEGA. Creative Assembly, the Creative Assembly logo, Total War, Total War Battles: Kingdom and the Total War Battles logo are either registered trademarks or trademarks of The Creative Assembly Limited. SEGA and the SEGA logo are either registered trademarks or trademarks of SEGA Holdings Co., Ltd. or its affiliates. All rights reserved. SEGA is registered in the U.S. Patent and Trademark Office. All other trademarks, logos and copyrights are property of their respective owners.",,,"  100,000 - 500,000  ",23-Mar-16,1, 348M  ,Top Developer,"9,695",4.2,Total War Battles: KINGDOM
      4.0.3 and up    ,Adventure,"Are YOU the next IT GIRL?! Be the girl EVERYONE is talking about! ,Take over the fashion world with your superstar style, awesome modeling and acting skills and overall COOLNESS! Dress up in the most fashionable outfits and surprise everyone with your glam and glitz! ,⋆ SHOW OFF YOUR STYLE and dress up in hundreds of trendy outfits from the hottest new shops in the mall! ,⋆ SHINE LIKE A STAR – get invited to all the best parties! Everyone wants an interview with you, IT GIRL! ,⋆ MAKEOVER TIME - choose from tons of makeup items like blush, glittery eyeshadow, a variety of lipstick colors and more!,⋆ TAKE OVER THE FASHION WORLD as a cover model, fashionista, celebrity and more! Dress up in celebrity inspired outfits and flaunt them on the red carpet!  ,⋆ SHOP TILL YOU DROP – collect coins to earn fashion items and buy new clothes and dress up!,ABOUT US,Crazy Labs is a casual games brand, under which TabTale develops and publishes fun and addictive games. Crazy Labs partners with independent development studios across the globe to create engaging mobile content for audiences of all ages. ,Like us: ,https://www.facebook.com/crazylabsgames,Watch us: ,http://www.youtube.com/iTabtale,Visit us: ,http://tabtale.com/,Follow us:@CrazyLabsGames,Google Plus: ,https://plus.google.com/+Tabtale/posts, ,CONTACT US ,Let us know what you think! Questions? Suggestions? Technical Support? Contact us 24/7 at Talk2Us@Crazy-Labs.com.,PRIVACY: ,* This App is free to play but certain in-game items may require payment. You may restrict in-app purchases by disabling them on your device.,* By downloading this App you agree to TabTale’s Privacy Policy and Terms of Use at ,http://tabtale.com/privacy-policy/, and at ,http://tabtale.com/terms-of-use/,.,This App may include third parties services, such as ad networks and analytics, and may contain social media links that allow users communicate with others. Collection and use of data are subject to TabTale's Privacy Policy.",,,"  100,000 - 500,000  ",30-Mar-16,1.894, 238M  ,Top Developer,"9,497",4,It Girl!
      2.3.3 and up    ,Creativity,"Who says school is all about uniforms? Let's rock out to your favorite clothes and get to school in style!,What kind of senior life do you like? Courses, balls, parties, sports games, travels, concerts and so much more... You know what, different occasions require entirely different outfits. And, did you hear the news? A new fashion shop has come into being for high school girls, and the consultant is our Blair who is a true styling expert. Let's guess who will be her first guest. Is it someone around you? Now, let's start out before senior life comes!,How to Play:,Have you ever dreamed of running a boutique? Open the game, and you'll see one. Look~ Several girls are waiting for styling advices. Tap them and they'll tell you their needs. Okay, have you noticed words at the top of the screen? Keep them in mind and help the guests find perfect styles from head to toe. All right, tap the OK button and one guest will be served. With stars awarded, tap the decoration button at the lower right corner to exchange for extra items. Sweetie, Blair is talented, but she still needs learning to make her styling advices flaunt the latest fashion. Tap the bookshelf and do her a favor in learning. Various skills and titles will be granted. Let's give it a whirl in the World Styling Contest. Oh, a warm tip, gifts are hidden throughout the game, why not become a part of us and find out?,Features:,- Immerse yourself in a galaxy of clothes and accessories,- Take part in the hottest World Styling Contest,- Make the room unique with dozens of decorations,- Enjoy the fun of titles and skills system,- Get extra joy out of a bundle of gifts,About Libii Game:,With over 400 million downloads and growing, Libii is committed to creating innovative games for kids. We'll keep working on establishing a good relationship with both parents and their children and bringing a healthy, happy atmosphere for them.,Visit us: ,http://www.libii.com/,Like us: ,http://www.facebook.com/LibiiGame,Contact us:,Got any ideas? Suggestions? Need technical support? Please feel free to contact us 24/7 at ,WeCare@libii.com,Need You Know:,This app is totally free to download and play, some basic items are also free to use, but some additional items need you to purchase and pay to unlock. Therefore, if you do not want to use these items, please turn off the in-app purchase in your settings. Thanks.",,,"  100,000 - 500,000  ",15-Mar-16,1, 82M  ,,"4,121",4.2,Blair's School Boutique
      4.0.3 and up    ,Card,"Woah! These Cards Know Kung Fu!,Legend tells of an ancient card battle game, whose hundreds of cards and strategic kung fu card battles were the stuff of… legends. In this game based on Dreamworks """"Kung Fu Panda"""" both beginner and bodacious kung fu warriors will train to master their skills and achieve PURE AWESOMENESS!,Get your kung fu on and go head-to-head with friends and other players  as you battle for card fu supremacy! Hone your skills against the Practice Dummy or face off against live opponents. With each skadoosh, rise in the ranks and become the ultimate kung fu master! ,This Kung Fu is easy to learn:,PLAY AS YOUR FAVORITE CHARACTERS: Master your kung fu as Po and the Furious Five! ,KUNG FU-NESS MADE EASY: Train to learn the basics and quickly level up into some serious kung fu action!,STACK THE DECK: Build awesome decks as you collect and create cards. Features hundreds of new characters, weapons, and moves never before seen in """"Kung Fu Panda""""!  ,THE STUFF OF LEGENDS: Make super cool STUFF by transforming cards you don’t need into cards that you totally need!,QUESTS FOR GOLD: Master your Kung Fu by completing daily Quests - Conquer each challenge to win Gold and earn the respect of your opponents.,CLIMB THE RANKS: Compete in head-to-head battles to improve your rank and win exclusive cards and bonuses!,--,Got feedback? Tell us about your experience at ,support+kfp@ludia.com, to help us make the game better!",,,"  1,000,000 - 5,000,000  ",30-Mar-16, 1.2.18  , 93M  ,Top Developer,"20,001",3.6,Kung Fu Panda: BattleOfDestiny
      4.0 and up    ,Adventure,"The newest game title in Shall we date? series ""Oz+"" is released! Complete the prologue before Apr. 26, 5:00 PM (PDT) and get $20(USD) worth of useful items! ,Shall we date?: Oz+ (Oz plus) is a visual novel style otome game, full of fantasy, adventure, romance and friendship. ,Story Summary: ,After the journey in the Land of Oz, you, as a heroine, returned to your home in Kansas. Years had passed since then, and your 17th birthday was drawing closer. One day, three hot guys showed up at the front door of your house. They were actually your friends who went on the journey together; the Scarecrow, the Tin Woodman and the Lion! “Come on! Let’s go to Oz to celebrate your birthday!” Excited about the grand birthday celebration, you headed back to the Land of Oz with them. “Hello again Oz world!”,Game Features: ,*FREE to play! ,*A variety of unique male characters to choose from for your romantic partner: the Scarecrow, the Tin Woodman and the Lion.,*Multiple endings for each character - the ending of the game changes depending on the choices you make in the episodes.,*Dramatic scenarios filled with both the serious and comical moments. ,*Many fine illustrations of Japanese manga and anime arts.,*A variety of accessories and items to enjoy cosplaying avatars.",,,"  10,000 - 50,000  ",23-Mar-16, 1.0.0  , 29M  ,,"1,276",4.5,Oz+ / Shall we date?
      2.3 and up    ,Puzzle,"Be a part of Chef Story and match orders by connecting 3 or more of the same food tile in the fewest number of moves possible!,Make big matches and get rewarded with Powerups in this match 3 game! Sharpen skills as you prepare, cook, assemble and serve delicious menu items in each exotic restaurant. Boost earnings and save moves by serving more than one order with a single match! Make special recipes with special combos and attract customers with their favorite dishes!  Collect cool kitchen items, and give you special powers to blast with mega-profits and keep your Master Chef star on the rise! Cook a variety of dishes from all parts of the world and become a Master chef in this match 3 game!,Chef Story Game Features :,Control the fast-paced chaos as you dash your way around the kitchen for crazy customers!,Over 500 pulsating levels. Can you get 3 Stars on all?,Google Play Games Achievements and Leaderboard to see who is the top Master Chef!,Overcome different game obstacles as you progress!, ,If you face any problems while installation, please report to us. We will resolve it at the earliest.",,,"  500,000 - 1,000,000  ",25-Mar-16,,,,"5,171",4.1,Chef Story
      4.0.3 and up    ,Casual,"One off one off another off, click, slide, shoot, rebound, Curtain hangs together following the baby panda climbing up, you will experience a variety of fun and interesting things, of course, there will be a danger in the side, but do not worry, there will be a lot of enthusiastic small animals to help you. All kinds of surprises waiting for you, come together.",,,"  100,000 - 500,000  ",27-Jan-16,1, 22M  ,,"1,258",4.3,Plants Bubble Mania
      4.0 and up    ,Sports,"The easiest but most exciting golf game in the world!,It’s not a puzzle golf game where you only putt or get the ball into the hole only once.,Realistic golf game with cute, pretty graphics.,The best gift for golf fans.,The best gift for beginning golfers.,Both parents and children can enjoy together.,You can talk and learn how to play golf with this fun game.,*  Game Features * ,1. Cute characters and fancy graphics,2. A realistic golf game,3. 5 countries and 90 missions,4. Trophy Round at each country,The only golf game that the entire family can play together.,Enjoy the excitement of golf.",,,"  10,000 - 50,000  ",14-Mar-16, 1.0.50  , 24M  ,,"1,610",4.1,Everyday Golf Mania 2016
      2.3 and up    ,Simulation,"@Supercell,please let me know immediately if you have anything against this app . ,I take it immediately from this market!,How to Fight!,*Get the latest Update 1.41,* Set ONLY TROOPS in your deck NO BUILDINGS OR SPELLS,We can't implement a real fightsyste",,,"  100,000 - 500,000  ",2-Apr-16,1.45, 44M  ,,"13,853",4.3,Clash Royale Chest Simulator
      4.0.3 and up    ,Creativity,"Budge Studios™ Presents Strawberry Shortcake Berryfest Party- the ultimate party app! Strawberry Shortcake and her friends have some super fun party games planned and need YOUR help to make sure everyone is having the time of their lives. Help their wishes come true to add amazing decorations and activities for EVEN MORE FUN!,FEATURES,• Explore Strawberry’s world and play super fun activities,• Complete wishes to earn fruitastic rewards,• Make scrumptious cakes and smoothies at Orange Blossom’s Food Booth,• Put together a fabulous outfit at Raspberry Torte’s Fashion Boutique,• Get a glamorous new hairstyle at Lemon Meringue’s Hair Salon,• Create your berry own music at Cherry Jam’s Music Stage,• Arrange a bouquet of flowers at Strawberry Shortcake’s Flower Patch,• Inflate a bunch of balloons at Blueberry Muffin’s Balloon Booth,• ASL functionality available for the hearing impaired,Visit us: www.budgestudios.com ,Like us: facebook.com/budgestudios ,Follow us: @budgestudios ,Watch our app trailers: youtube.com/budgestudios ,HAVE QUESTIONS? ,We always welcome your questions, suggestions and comments. Contact us 24/7 at ,support@budgestudios.ca, ,COPPA COMPLIANT,Budge Studios takes children's privacy seriously and ensures that its apps are compliant with privacy laws, including the Child Online Privacy Protection Act (COPPA), a privacy legislation in the United States of America.   If you would like to learn more on what information we collect and how we use it, please visit our privacy policy at: ,http://budgestudios.ca/?p=privacy, . If  you have any questions, email our Privacy Officer at : ,privacy@budgestudios.ca,Before you download this game, please note that this app is free to play, but additional content may be available via in-app purchases. It also may contain advertising from Budge Studios Inc.  regarding other apps we publish and from partners, and social media links that are only accessible behind a parental gate. ,BUDGE STUDIOS is a trademark of Budge Studios Inc.",,,"  100,000 - 500,000  ",9-Mar-16,1.3, 188M  ,Top Developer,"5,099",4,Strawberry Shortcake Berryfest
      2.1 and up    ,Action,"Infinity Sword is #1 stunning fantasy fighter game that combined intense action and robust strategy. From its spectacular swordplay to its breathtaking crossbow shootings, Infinity Sword offers action-packed, adrenaline-fueled combat experience with an immersive, intriguing story-line.,As it has been for all in your bloodline, this is your birthright – to free your people and rebuild a powerful kingdom. You must pick up your sword, crossbow or war hammer and battle against endless waves of dark monsters. Crush your enemies, humiliate demon bosses, and be the one to rule the kingdom. The game also lets you build a castle, control the action, and train elite troops to fight against enemy armies on battlefield. Slash, shoot, and cast devastating spells now!,Game Features:,- Create, evolve and customize your hero with epic weapons,- Devastate your enemies with intuitive controls,- Journey through different locations full of menacing demons,- Compete against worldwide players and dominate the leader boards",,,"  100,000 - 500,000  ",30-Mar-16,1.2, 19M  ,Top Developer,"3,472",4,Infinity Sword
      2.3 and up    ,Simulation,"Train Simulator 2016 is the latest cutting edge train simulator that will allow you to become the best train driver!,Zoom across scenic landscapes and experience the thrill of a buzzing train ride with Train Simulator 2016.,With Train Simulator 2016 it’s time to fulfill your dreams as you become the pro train operator and engine driver.,Once you are in the game, the train express is all yours to control.Stop the train before you enter the danger zone! Change the camera view as per your comfort; pick up all the passengers to drop at their respective destinations.,Dodge oncoming trains and do not cross the trains speed limit. You can EARN XP and level up to be the skillful train driver of them all. Pick the speed, apply brakes and drive past beautiful sceneries as you go round the map picking up passengers fulfilling your train transport duty. Explore the vast collection from the old steam locomotive simulator to today’s high speed rails with tons of exciting engine driver adventures for you to enjoy.,Game Features : ,*Challenging train transport levels,*Open/Close Doors Animations,*Unlock and Explore 7 regions 35 levels ,*Accelerate upward to move forward & downwards to slow down,*Press halt to stop the train,*Swipe left and right to take turns,If you face any problems while installation please report to us. This will help us resolve it at the earliest.",,,"  100,000 - 500,000  ",11-Mar-16,,,Top Developer,"6,659",4,Train Simulator 2016
      4.1 and up    ,Action & Adventure,"Rabbids Appisodes: The kids’ hit animated TV show is NOW INTERACTIVE!,For the first time, kids will be able to unleash the Rabbids’ silliness from their favorite hit TV Show: Rabbids Invasion,- DISCOVER 7 interactive appisodes based on the hit animated TV show Rabbids Invasion. ,- WATCH, PLAY AND INTERACT with Rabbids in various mini-games. Tap to throw eggs, tilt your device to prevent Rabbids from falling down, swipe to hit them and scream the iconic BWAAAH!,-FIND hidden objects in each appisode to increase your scoring. Even amid the Rabbids mayhem, stay focused during the entire appisode!,- COLLECT stickers and unlock puzzle pieces to complete new hilarious wallpapers for your tablet ,or smartphone. You can even customize them with your stickers!,Stay tuned for all the latest Rabbids news on:,FACEBOOK ,https://www.facebook.com/Rabbids, ,TWITTER ,https://twitter.com/RabbidsOfficial,YOUTUBE ,https://www.youtube.com/Rabbids,The game is available in: English, French, German, Italian, Spanish, Russian and Simplified Chinese.",,,"  100,000 - 500,000  ",9-Mar-16, 1.0.0  , 715M  ,Top Developer,"4,349",3.6,Rabbids Appisodes
      2.3 and up    ,Casino,"Bingo Holiday : the best Bingo games FREE to play for kids and family like never before!,With the creative best bingo games design, Bingo Holiday combined the best of playing both real world cash bingo and digital online bingo tournament games.,Travel around the free bingo games world through uniquely designed Bingo room, each bingo hall has its unique ,collection items and authentic city view!   ,A clue to 2016 future game feature would include a chance to take the ""holiday bingo trip"" in VR (Virtual Reality) and in real.  ,Bingo Holiday is an easy bingo games.  It has thrilling arcade-style game features such as boosts, collection items and lots of achievements.,To WIN BIG, Enjoy Bingo Holiday: Free Bingo Games NOW!,More thrilling game modes are coming soon: Free Slots Bingo, Vegas Jackpot Bingo free, UK Bingo, Texas Poker Bingo free, Super Bingo Blitz, Wheel of Fortune Bingo and so on.,Epic haze of FUN! Compete with thousands of real online players and get thrills of 1ST Bingo games free wins with the best bingo app for android and unlimited bonus games. ,Key Features:,✩ Beautiful graphics and delightful bingo tune for all bingo rooms,✩ New world trip cities added regularly, win more mysterious pop collections!,✩ Attractive Super Bingo rooms to challenge a game Blitz,✩ Jackpot Bingo free is coming soon with vegas game style progressive Jackpots to win fortune cash!,✩ Play bingo and slot games free together when waiting for a new bingo rush,✩ Express your own personalized Bingo Avatar Frame!  We make your own bingo adventure games free together.,✩ Spin the Bonus Wheel for Fortune every day, collect daily bonus credits and bonus coins.,✩ Play with friends in active community, chat and send gifts and credits,✩ Login with Facebook to get facebook credits or Google Plus for free google play credits extra bonus to play bingo live or do bingo quest with friends, or simply play the bash game as a Guest,✩ Multiple Bingo Caller just like in Bingo Casino,✩ Boosts include bingo dab, bingo clue, bingo shield, bingo shootout for your bingo dreams,Any suggestions? Having a question?,We would love to hear from you! You can reach us, the best Bingo games support team at:,customer.android@bingoholiday.xyz,Already a fan of Bingo Holiday: FREE Bingo Games? Like us on Facebook,http://www.facebook.com/bingoholiday,Want best bingo games free to play no internet to play offline? ,please download AE Bingo.  AE Bingo is free bingo games no internet or wifi needed.,This is NOT the best bingo games free to play and win real money.  ,Last but not least, This is the free bingo games to download.,A big THANK YOU to everyone downloaded and played Bingo Holiday: Free Bingo Games for Android!,Disclaimer:,*Bingo Holiday:FREE Bingo Games is intended for use for amusement purposes only. THERE IS NO REAL CASH PAYOUT YOU CAN EARN.,*Bingo Holiday:FREE Bingo Games does not offer real money gambling or an opportunity to win real money.",,,"  50,000 - 100,000  ",23-Mar-16, 1.0.2  , 30M  ,,"1,205",4.7,Bingo Holiday:FREE Bingo Games
